Designator,Mid X,Mid Y,Rotation,Layer
C1,173.38,-87.285,270.0,top
C2,158.595,-85.92,0.0,top
D1,173.555,-92.08,180.0,top
D2,173.535,-94.27,180.0,top
D3,173.52,-96.48,180.0,top
D4,159.12,-89.07,0.0,top
D5,153.09,-91.95,180.0,top
J1,126.08,-90.77,270.0,top
J2,178.51,-90.75,0.0,top
J3,148.98,-99.67,90.0,top
J4,148.98,-81.89,90.0,top
L1,167.37,-89.05,180.0,top
R1,134.92,-88.27,0.0,top
R2,134.92,-93.13,0.0,top
R3,147.7375,-92.34,0.0,top
R4,147.7375,-94.49,0.0,top
R5,158.0225,-92.27,0.0,top
R6,158.03,-94.28,180.0,top
R7,147.7275,-96.67,0.0,top
R8,153.075,-89.07,180.0,top
U1,136.0475,-90.64,0.0,top
U2,165.6825,-94.9,180.0,top
